date,platform,internal_sku,city,units,revenue
2026-07-07,Blinkit,PKA-PLT-10,Delhi,120,14400
2026-07-07,Zepto,PKA-TRY-3CP,Bengaluru,95,17100
2026-07-07,Amazon Now,PKA-CUP-250,Mumbai,80,12000
2026-07-07,Blinkit,PKA-CUT-WD,Hyderabad,40,8000
2026-07-07,Amazon Now,PKA-CLM-750,Mumbai,60,9600
2026-07-08,Blinkit,PKA-PLT-10,Delhi,128,15360
2026-07-08,Zepto,PKA-TRY-3CP,Bengaluru,98,17640
2026-07-08,Instamart,PKA-CUP-250,Pune,72,10800
2026-07-08,Blinkit,PKA-CUT-WD,Hyderabad,42,8400
2026-07-08,Amazon Now,PKA-CLM-750,Mumbai,58,9280
2026-07-09,Blinkit,PKA-PLT-10,Hyderabad,132,15840
2026-07-09,Zepto,PKA-TRY-3CP,Bengaluru,101,18180
2026-07-09,Amazon Now,PKA-CUP-250,Mumbai,78,11700
2026-07-09,Blinkit,PKA-CUT-WD,Delhi,45,9000
2026-07-09,Zepto,PKA-CLM-750,Bengaluru,55,8800
2026-07-10,Blinkit,PKA-PLT-10,Delhi,140,16800
2026-07-10,Zepto,PKA-TRY-3CP,Bengaluru,99,17820
2026-07-10,Instamart,PKA-CUP-250,Pune,75,11250
2026-07-10,Blinkit,PKA-CUT-WD,Hyderabad,44,8800
2026-07-10,Amazon Now,PKA-CLM-750,Mumbai,62,9920
2026-07-11,Blinkit,PKA-PLT-10,Hyderabad,145,17400
2026-07-11,Zepto,PKA-TRY-3CP,Bengaluru,103,18540
2026-07-11,Amazon Now,PKA-CUP-250,Mumbai,82,12300
2026-07-11,Blinkit,PKA-CUT-WD,Delhi,46,9200
2026-07-11,Zepto,PKA-CLM-750,Bengaluru,57,9120
2026-07-12,Blinkit,PKA-PLT-10,Delhi,150,18000
2026-07-12,Zepto,PKA-TRY-3CP,Bengaluru,100,18000
2026-07-12,Instamart,PKA-CUP-250,Pune,79,11850
2026-07-12,Blinkit,PKA-CUT-WD,Hyderabad,43,8600
2026-07-12,Amazon Now,PKA-CLM-750,Mumbai,60,9600
2026-07-13,Blinkit,PKA-PLT-10,Hyderabad,148,17760
2026-07-13,Zepto,PKA-TRY-3CP,Bengaluru,97,17460
2026-07-13,Amazon Now,PKA-CUP-250,Mumbai,84,12600
2026-07-13,Blinkit,PKA-CUT-WD,Delhi,41,8200
2026-07-13,Zepto,PKA-CLM-750,Bengaluru,59,9440
2026-07-14,Blinkit,PKA-PLT-10,Delhi,158,18960
2026-07-14,Zepto,PKA-TRY-3CP,Bengaluru,88,15840
2026-07-14,Amazon Now,PKA-CUP-250,Mumbai,86,12900
2026-07-14,Blinkit,PKA-CUT-WD,Hyderabad,40,8000
2026-07-14,Amazon Now,PKA-CLM-750,Mumbai,63,10080
2026-07-15,Blinkit,PKA-PLT-10,Hyderabad,165,19800
2026-07-15,Zepto,PKA-TRY-3CP,Bengaluru,80,14400
2026-07-15,Instamart,PKA-CUP-250,Pune,83,12450
2026-07-15,Blinkit,PKA-CUT-WD,Delhi,38,7600
2026-07-15,Zepto,PKA-CLM-750,Bengaluru,58,9280
2026-07-16,Blinkit,PKA-PLT-10,Delhi,170,20400
2026-07-16,Zepto,PKA-TRY-3CP,Bengaluru,72,12960
2026-07-16,Amazon Now,PKA-CUP-250,Mumbai,88,13200
2026-07-16,Blinkit,PKA-CUT-WD,Hyderabad,36,7200
2026-07-16,Amazon Now,PKA-CLM-750,Mumbai,61,9760
2026-07-17,Blinkit,PKA-PLT-10,Hyderabad,175,21000
2026-07-17,Zepto,PKA-TRY-3CP,Bengaluru,65,11700
2026-07-17,Instamart,PKA-CUP-250,Pune,85,12750
2026-07-17,Blinkit,PKA-CUT-WD,Delhi,35,7000
2026-07-17,Zepto,PKA-CLM-750,Bengaluru,60,9600
2026-07-18,Blinkit,PKA-PLT-10,Delhi,180,21600
2026-07-18,Zepto,PKA-TRY-3CP,Bengaluru,58,10440
2026-07-18,Amazon Now,PKA-CUP-250,Mumbai,90,13500
2026-07-18,Blinkit,PKA-CUT-WD,Hyderabad,34,6800
2026-07-18,Amazon Now,PKA-CLM-750,Mumbai,62,9920
2026-07-19,Blinkit,PKA-PLT-10,Hyderabad,185,22200
2026-07-19,Zepto,PKA-TRY-3CP,Bengaluru,52,9360
2026-07-19,Amazon Now,PKA-CUP-250,Mumbai,92,13800
2026-07-19,Blinkit,PKA-CUT-WD,Delhi,33,6600
2026-07-19,Zepto,PKA-CLM-750,Bengaluru,64,10240
2026-07-20,Blinkit,PKA-PLT-10,Delhi,190,22800
2026-07-20,Zepto,PKA-TRY-3CP,Bengaluru,48,8640
2026-07-20,Instamart,PKA-CUP-250,Pune,94,14100
2026-07-20,Blinkit,PKA-CUT-WD,Hyderabad,32,6400
2026-07-20,Amazon Now,PKA-CLM-750,Mumbai,63,10080
